,date,code,presettle,open,high,low,close,settle,volume,amount,oi,factor,dlv_day,dlv_week,
1211,20200402,IC2004,4952.4,4956,5133.6,4953,5130.4,5086.4,123118,12382501.76,105324,2.347797062,0,0,
1212,20200403,IC2004,5086.4,5103.6,5113,5029.4,5061.6,5053.6,100375,10179607.84,96374,2.347797062,0,0,
1213,20200407,IC2004,5053.6,5160,5241.6,5156.2,5213,5224.8,96575,10053825.72,95692,2.347797062,0,0,
1214,20200408,IC2004,5224.8,5195.4,5252,5189,5229.2,5223,84867,8853291.364,90930,2.347797062,0,0,
1215,20200409,IC2004,5223,5260,5299,5250.4,5273.2,5284.2,85891,9057597.164,91997,2.347797062,0,0,
1216,20200410,IC2004,5284.2,5269.2,5274.6,5164.4,5195.8,5183.6,97767,10204531.25,92119,2.347797062,0,0,
1217,20200413,IC2004,5183.6,5160,5178.4,5117.8,5139.8,5142.6,79025,8136109.116,82469,2.347797062,0,1,
1218,20200414,IC2004,5142.6,5180,5271,5175.2,5262,5253.2,87282,9113514.568,76197,2.347797062,0,1,
1219,20200415,IC2004,5253.2,5266,5303,5250,5251.4,5258.4,71159,7507636.316,58271,2.347797062,0,1,
1220,20200416,IC2004,5258.4,5235.4,5332,5231.4,5308.4,5313.4,61961,6547109.004,29370,2.347797062,0,1,
1221,20200417,IC2005,5252.4,5308.8,5335,5228.4,5251.8,5251.6,94599,10008663.26,85073,2.375063763,1,1,
1222,20200420,IC2005,5251.6,5280,5307,5250.8,5295.2,5293,70358,7440030.016,80042,2.375063763,0,0,
1223,20200421,IC2005,5293,5276.4,5282.8,5176.4,5255.8,5238.8,90792,9500132.42,87531,2.375063763,0,0,
1224,20200422,IC2005,5238.8,5215,5322,5212.8,5319,5300.4,89027,9372491.324,85958,2.375063763,0,0,
1225,20200423,IC2005,5300.4,5310.4,5332.8,5263.2,5282.6,5287.2,83304,8816191.772,85305,2.375063763,0,0,
1226,20200424,IC2005,5287.2,5267,5279.8,5188.2,5216.2,5206.6,83713,8757133.124,85546,2.375063763,0,0,
1227,20200427,IC2005,5206.6,5230,5265,5189.6,5202.8,5207.6,77761,8131869.676,85643,2.375063763,0,0,
1228,20200428,IC2005,5207.6,5202.8,5213,5055,5162.2,5168.4,104737,10798206.38,95696,2.375063763,0,0,
1229,20200429,IC2005,5168.4,5157.6,5217.6,5154,5188.2,5181.6,77729,8065271.164,84678,2.375063763,0,0,
1230,20200430,IC2005,5181.6,5232,5349.2,5227,5332,5331.2,89562,9501068.504,84353,2.375063763,0,0,
1231,20200506,IC2005,5331.2,5305,5432.6,5303.8,5413.6,5417.4,80459,8635995.972,80413,2.375063763,0,0,
1232,20200507,IC2005,5417.4,5420,5433,5377,5402.6,5412.2,74941,8107569.944,78242,2.375063763,0,0,
1233,20200508,IC2005,5412.2,5444,5510,5428,5479.8,5479.6,84093,9201725.108,77944,2.375063763,0,0,
1234,20200511,IC2005,5479.6,5506.8,5538,5448.4,5468.2,5462.8,76023,8341318.232,69686,2.375063763,0,1,
1235,20200512,IC2005,5462.8,5465,5502.8,5430.2,5486,5483.6,78694,8609801.028,66975,2.375063763,0,1,
1236,20200513,IC2005,5483.6,5470,5531.4,5461.6,5519,5519.4,62443,6861537.392,49000,2.375063763,0,1,
1237,20200514,IC2005,5519.4,5501.8,5519.4,5476.2,5490.4,5491.8,46438,5101545.8,25012,2.375063763,0,1,
1238,20200515,IC2006,5401,5437,5470,5403.8,5404.6,5425,98181,10669468.41,122218,2.414992626,1,1,
1239,20200518,IC2006,5425,5434.6,5450,5372,5389.4,5407.4,101629,11002397.32,124013,2.414992626,0,0,
1240,20200519,IC2006,5407.4,5431.2,5466.8,5418.4,5454.2,5453.2,87615,9541838.152,116264,2.414992626,0,0,
1241,20200520,IC2006,5453.2,5450.2,5455.8,5393,5410.2,5404.6,77241,8381829.54,115200,2.414992626,0,0,
1242,20200521,IC2006,5404.6,5430.4,5431,5338,5343.2,5354,86042,9271835.264,121394,2.414992626,0,0,
